ball_id,row,col,category,signal_group,voltage_bank,direction,status
A22,A,22,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A23,A,23,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A24,A,24,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A25,A,25,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A26,A,26,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A27,A,27,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A28,A,28,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A29,A,29,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A30,A,30,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A31,A,31,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A32,A,32,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A33,A,33,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A34,A,34,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A35,A,35,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A36,A,36,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A37,A,37,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A38,A,38,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A39,A,39,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A40,A,40,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A41,A,41,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A42,A,42,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A43,A,43,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A44,A,44,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A45,A,45,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A46,A,46,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A47,A,47,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A48,A,48,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A49,A,49,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A50,A,50,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B1,B,1,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B2,B,2,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B3,B,3,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B4,B,4,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B5,B,5,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B6,B,6,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B7,B,7,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B8,B,8,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B9,B,9,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B10,B,10,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B11,B,11,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B12,B,12,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B13,B,13,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B14,B,14,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B15,B,15,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B16,B,16,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B17,B,17,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B18,B,18,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B19,B,19,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B20,B,20,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B21,B,21,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B22,B,22,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B23,B,23,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B24,B,24,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B25,B,25,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B26,B,26,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B27,B,27,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B28,B,28,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B29,B,29,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B30,B,30,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B31,B,31,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B32,B,32,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B33,B,33,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B34,B,34,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B35,B,35,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B36,B,36,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B37,B,37,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B38,B,38,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B39,B,39,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B40,B,40,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B41,B,41,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B42,B,42,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B43,B,43,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B44,B,44,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B45,B,45,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B46,B,46,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B47,B,47,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B48,B,48,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B49,B,49,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
B50,B,50,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C1,C,1,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C2,C,2,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C3,C,3,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C4,C,4,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C5,C,5,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C6,C,6,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C7,C,7,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C8,C,8,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C9,C,9,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C10,C,10,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C11,C,11,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C12,C,12,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C13,C,13,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C14,C,14,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C15,C,15,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C16,C,16,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C17,C,17,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C18,C,18,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C19,C,19,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C20,C,20,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C21,C,21,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C22,C,22,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C23,C,23,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C24,C,24,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C25,C,25,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C26,C,26,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C27,C,27,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C28,C,28,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C29,C,29,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C30,C,30,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C31,C,31,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C32,C,32,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C33,C,33,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C34,C,34,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C35,C,35,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C36,C,36,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C37,C,37,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C38,C,38,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C39,C,39,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C40,C,40,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C41,C,41,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C42,C,42,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C43,C,43,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C44,C,44,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C45,C,45,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C46,C,46,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C47,C,47,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C48,C,48,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C49,C,49,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
C50,C,50,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D1,D,1,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D2,D,2,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D3,D,3,CTRL,CLK_RST_STRAP_DEBUG,VDD_1V1,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D4,D,4,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D5,D,5,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D6,D,6,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D7,D,7,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D8,D,8,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D9,D,9,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D10,D,10,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D11,D,11,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D12,D,12,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D13,D,13,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D14,D,14,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D15,D,15,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D16,D,16,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D17,D,17,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D18,D,18,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D19,D,19,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D20,D,20,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D21,D,21,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D22,D,22,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D23,D,23,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D24,D,24,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D25,D,25,HBM_CHANNEL,HBM_CHA_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D26,D,26,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D27,D,27,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D28,D,28,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D29,D,29,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D30,D,30,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D31,D,31,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D32,D,32,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D33,D,33,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D34,D,34,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D35,D,35,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D36,D,36,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D37,D,37,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D38,D,38,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D39,D,39,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D40,D,40,HBM_CHANNEL,HBM_CHB_DQ_DQS_CA,VDDQ_HBM_0V4,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D41,D,41,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D42,D,42,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D43,D,43,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D44,D,44,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D45,D,45,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D46,D,46,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D47,D,47,PCIE_FABRIC,PCIE_GEN6_FABRIC_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D48,D,48,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D49,D,49,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
D50,D,50,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E1,E,1,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E2,E,2,GROUND,VSS_RING,GND,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E3,E,3,POWER,VDDQ_IO_RING,VDD_1V1,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E4,E,4,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E5,E,5,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E6,E,6,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E7,E,7,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E8,E,8,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E9,E,9,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E10,E,10,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
E11,E,11,OPTICAL_SERDES,TFLN_PIC_SERDES_LANE,VDD_0V9_SERDES,BIDIR,DRAFT-PENDING-IP-OWNER-SIGNOFF
